precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 1.600.000,"Casa en Medellín, Antioquia",5 Habs. ,2 Baños,90 m²,"Casa en arriendo en robledo, medellín"
$ 7.500.000,"Apartamento en Medellín, Antioquia",4 Habs. ,5 Baños,185 m²,"Apartamento en arriendo en milla de oro, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 1.050.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en robledo, medellín"
$ 4.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,80 m²,Apartamento en arriendo en medellín
$ 2.900.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,80 m²,"Apartamento en arriendo en san javier, medellín"
$ 2.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,63 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,57 m²,"Apartamento en arriendo en san gabriel, medellín"
$ 4.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en el poblado, medellín"
$ 1.200.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,60 m²,"Apartamento en arriendo en manrique, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,38 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en robledo, medellín"
$ 3.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,Apartamento en arriendo en medellín
$ 3.500.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,52 m²,"Apartamento en arriendo en simesa, medellín"
$ 2.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,55 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 3.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,74 m²,"Apartamento en arriendo en los colores, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en laureles, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belen malibu, medellín"
$ 8.480.000,"Apartamento en Medellín, Antioquia",4 Habs. ,5 Baños,250 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.700.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,114 m²,"Apartamento en arriendo en castropol, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,71 m²,Apartamento en arriendo en medellín
$ 3.300.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,55 m²,Apartamento en arriendo en medellín
$ 1.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en aranjuez, medellín"
$ 1.080.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,55 m²,"Apartamento en arriendo en san javier, medellín"
$ 6.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en san lucas, medellín"
$ 4.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,110 m²,"Apartamento en arriendo en loma del campestre, medellín"
$ 3.500.000,"Casa en Medellín, Antioquia",4 Habs. ,2 Baños,110 m²,"Casa en arriendo en cristo rey, medellín"
$ 4.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.300.000,"Casa en Medellín, Antioquia",3 Habs. ,2 Baños,100 m²,"Casa en arriendo en santa mónica, medellín"
$ 3.100.000,"Apartamento en Medellín, Antioquia",2 Habs. ,3 Baños,70 m²,"Apartamento en arriendo en belén fatima, medellín"
$ 3.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,75 m²,"Apartamento en arriendo en cristo rey, medellín"
$ 3.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,87 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 2.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en loma del indio, medellín"
$ 1.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,"Apartamento en arriendo en robledo, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,38 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 2.300.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en belén rincón, medellín"
$ 2.400.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,68 m²,"Apartamento en arriendo en belen la palma, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,38 m²,"Apartamento en arriendo en barrio cristóbal, medellín"
$ 4.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en los colores, medellín"
$ 1.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 3.900.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,64 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.350.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,70 m²,"Apartamento en arriendo en santa fe, medellín"
$ 1.600.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,52 m²,"Apartamento en arriendo en rodeo alto, medellín"
$ 2.500.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,55.8 m²,"Apartamento en arriendo en loma de los bernal, medellín"
$ 1.250.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,65 m²,"Apartamento en arriendo en aranjuez, medellín"
$ 5.100.000,"Apartamento en Medellín, Antioquia",4 Habs. ,4 Baños,216 m²,"Apartamento en arriendo en laureles, medellín"
